,微博发布者id,微博昵称,微博简介,认证状态,认证理由,关注数,粉丝数,性别,微博等级
498,6514579323,周深今天开心嘛_,听说你也喜欢小深、,False,,21,7,女,4
499,6354288184,天海6354288184,,False,,26,10,男,4
500,6048734183,深深不是星星,本命周星星⭐️，墙头周深周浅卡布,False,,235,49,女,0
501,7783483222,玫瑰花开了_929,风雨同周深情不移！！！！,True,超话粉丝大咖（周深超话）,392,137,女,0
502,7729259297,古城2017198105,,False,,153,4,男,0
503,6005712904,车厘子生巧蛋糕,周深唯粉。镇魂,True,超话粉丝大咖（周深超话）,570,186,女,4
504,6223861594,蒙蒙是唯粉叻,周深是我唯一宝贝,True,超话粉丝大咖（周深超话）,385,201,女,4
505,7673453980,小杨_一一,,False,,308,10,女,0
506,6013416126,skrnfbfjkdkr,,False,,147,45,女,9
507,5446435456,婵禅馋蝉二点零版本,&amp;,False,,36,6,女,4
508,7885167008,在梦中Zz,💙,False,,102,15,女,0
509,7884162603,既会dance也会sing,@卡布叻＿周深  我生命中最重要的人【除家人外,False,,35,11,女,0
510,7502784804,修勾不会修沟_想见周深版,我的小世界 ı||ııı||ı|@卡布叻_周深,True,超话粉丝大咖（周深超话） 微博剪辑视频博主,503,1761,女,0
511,7908344970,晰浅-辞,坐落于深海之中 观浮光万象 尽显辉煌,False,,100,1,女,0
512,6061678674,从来没有过的第一次追星,每个人都有自己强大的一面，同时也有脆弱的一面。,True,超话粉丝大咖（周深超话）,159,274,女,14
513,7784828717,土豆蔬菜卷_专辑巡演都要版,周深毒唯✨,False,,580,320,女,0
514,7550611670,九鹿噜,对你的偏爱是永恒,False,,137,163,男,0
515,7845950158,尝试粘回米尖尖,花开忘忧 愿你无忧,False,,59,8,女,0
516,6298228385,去武汉吃热干面不咯,,False,,27,12,女,0
517,7669078675,守星星的人929,在寻找溺于深海的光与划破天际的星,False,,75,2,女,0
518,7377394523,爱叫咯咯哒,咕咕咕咕咕我是i人啊啊啊啊,False,,174,18,女,0
519,6603450171,月亮不睡我也睡_,只想给我的深崽唯一的爱(深唯),True,超话粉丝大咖（周深超话）,556,192,女,4
520,7732735716,用户小猫养成系,对此我只想发表以下6点......                                           （镇魂,False,,230,1,男,0
521,7472919379,周深加油呀,,False,,115,22,女,0
522,7379017314,吃麦芽糖_戒奶茶,不说话,False,,426,49,女,0
523,6128266683,拿豆橛子把周深绑来山东,,False,,341,75,女,9
524,7646381156,周浅今天有微博了吗-南京有票版,做周浅熟饭，享幸福饭生🌹 二代偏饺  会弄卡布叻男团同人文和表情包！！！老福特同名～ 所有原创产出无授权均🈲商用🈲物料 少量（≤5）自用✅,False,,22,68,女,0
525,7780156489,土豆味的咻星星叻_,Only:@卡布叻_周深 是位生米哦 来找我dd啊,False,,96,7,女,0
526,7874727274,永远在周深身旁的生米,凹凸粉 也是周深的生米,False,,157,3,女,0
527,7361344933,未成年老艺术家啾星老师,你发誓更勇敢 一生与梦相拥,False,,640,178,女,0
528,7733612090,看到1颗星星叻,周深的小狗嘿嘿嘿嘿嘿嘿  ｜神魔,False,,166,421,女,0
529,7824040555,Reiiiiina_,我以渺小爱你💙,False,,129,5,女,0
530,7776079816,雨中聆深高歌,天上有日月和星辰,False,,105,27,女,0
531,2901764143,咱家小颖,,False,,724,116,女,16
532,7615846143,鹦鹉娃娃老师,,False,,278,22,女,0
533,6463150106,云养猫的快乐你不懂,✨大眼儿你个垃圾堆！知道为啥用户越来越少吗？都是你应得滴！✨～还是好想出去玩儿，我要养好身体～✨,False,,503,181,女,4
534,6633944451,祈橙星海,周深唱我就听。 xhs：祈橙✨（主发图号 喜欢追剧追漫，偶尔四处产粮,True,超话粉丝大咖（周深超话）,1064,236,女,4
535,7822672100,卡布叻-宝贝,本人是周深毒唯，  属性&gt;关系，雷一切米缸雷的和不良艺人,False,,462,324,女,0
536,7785732047,螺蛳粉不爱吃粉,,False,,267,36,女,0
537,7913478096,爱深深的米饭,,False,,23,6,女,0
538,6937240994,无耐性清醒,周深全肯定。 然后糊逼粉别看了,False,,107,20,女,0
539,7412854514,不知深浅叻,,False,,32,16,女,0
540,7770022217,宫廷背包客C,,False,,44,4,女,0
541,7814784059,周深今天也好帅_反深代词plus版,我以渺小爱你,False,,72,36,女,0
542,7474221713,小巧玲珑聪明可爱,开微博只为周深！如果不在线是因为忙着三次元啦！,False,,316,73,女,0
543,6330973899,星星滴萌噜噜,“星星掉进海里，   糖果掉进梦里，   而你掉进我心里。”,False,,570,4,女,4
544,6614056196,问周清如深,做你自己这件事，永远没有任何人比你做的更好。,False,,583,95,女,9
545,7851279465,糖果塞你嘴里_童,周深要永远幸福！！🙏✨,False,,192,175,女,0
546,7738700654,Redamancy_芝士听雪,嘿！少管我！All For Charlie_ 9.29Hz,True,超话粉丝大咖（周深超话）,105,237,女,0
547,7794550283,夏日可可_反深代词,｜༒࿈镇魂࿈༒｜我有嬷欲爽,False,,494,105,男,0
548,3259716310,深情画意vv,要保持愉快的心情玩耍鸭,False,,384,10,女,29
549,7856251241,Lieezs_祈星,找到我啦～ 我是祈星 可以叫我七七 欢迎你来到我的小小世界 让我们一起努力去见小深啊⩌⩊⩌,False,,711,310,女,0
550,7457969371,一门心思去追星叻,一只追星族,False,,509,194,女,0
551,7373922708,酸菜鱼的酸菜nzc,不信神不信佛啥啥都不信,False,,330,156,女,0
552,7672490813,春来燕归0327,,False,,87,8,女,0
553,6591096749,满是彩虹的糖糖叻,粥森唯一的修勾~,True,超话粉丝大咖（周深超话）,534,344,女,4
554,2266924675,卡布叻-小桃子,,False,,277,23,女,9
555,6462754248,茵菓布丁,傻杯少来沾边,False,,91,53,女,4
556,6541032309,毛茸茸碳基生物,“My angle of light”,False,,442,234,女,4
557,7782150769,星星偷走睡意叻,👫𝑾𝒊𝒕𝒉 𝒚𝒐𝒖,False,,285,36,女,0
558,7223016245,艾小爱a,学生,False,,89,34,女,0
559,5040356169,细品津威_,管好你自己,False,,239,110,男,9
560,7004355749,爱吃泡芙的小狗呀,音乐是救赎,False,,613,12,女,0
561,7656317922,y雨眸u,我以渺小爱你同行的旅程,True,超话粉丝大咖（周深超话）,338,158,女,0
562,5609662759,早睡成功_,尊重是第一位，三观不同不要靠近。镇魂,True,超话粉丝大咖（周深超话）,538,140,女,9
563,7413711811,周深的土鸡蛋不是鸡下的,,False,,32,12,女,0
564,6057463552,o_O头好痒感觉要长脑子啦,法海永远都当不了rapper，因为他不会饶蛇。,True,超话粉丝大咖（周深超话） 娱乐博主,440,1.1万,女,22
565,7465084048,不爱吃皮蛋瘦肉周-,介绍一下自己 周深的生米,True,超话粉丝大咖（周深超话）,215,61,女,0
566,7418636453,每天都幸运叻_,,False,,261,13,男,0
567,6594821189,鸡汤来叻,,False,,288,24,女,6
568,6535540574,羽肆被折了一下,镇魂｜“去见你的路上，花都是为我们开的”💐,True,超话粉丝大咖（周深超话）,765,346,女,9
569,7842832906,偶素大喇叭发,你怎么知道我要在周深演唱会上过生日,False,,238,5,女,0
570,6468786977,雪礼莎Sherrisa_反深代词神专,画手，在新疆上学的胡建&amp;广西人（因为要上学没法秒回非常抱歉！），三次元只推周深！二次元主推切利尼娜•德克萨斯、奥达、不二咲千寻和时透无一郎！,False,,147,56,女,1
571,6640948192,九落Ninefalls,你往前走，不要回头,True,超话粉丝大咖（周深超话）,270,65,女,4
572,7848981247,青梅叻,超级超级喜欢周深 风雨同周深情不移， 陷在米缸出不来了～～～～～～,False,,46,17,女,0
573,7418184875,元渁-潇翊,朝游江北岸，夕宿潇湘沚,False,,252,13,女,0
574,6424235938,云坞·,若是同好，终会殊途同归，入我梦来。,True,超话粉丝大咖（周深超话）,433,1182,女,9
575,7146073874,柿微且当归_反深代词神专,只是卡波拉的忠诚小狗All For Charlie❗️内有恶犬,True,娱乐博主 超话粉丝大咖（周深超话）,753,814,女,9
576,5290504834,貊陌墨沫哒,二专大爆！时时有票！🔥,False,,242,97,女,9
577,7899528305,吃一口杨桃星星,,False,,31,1,女,0
578,7592809443,饭熟饭熟饭熟叻-去赴约啦,是生米 ！毒唯，嫑直接关注！[镇魂],True,超话粉丝钻咖（周深超话） 微博剪辑视频博主,732,1330,女,0
579,7297724057,圆圆的小肥啾,,False,,231,5,女,0
580,3793420460,鸢尾-听反深代词版-婉,愿你一生努力，一生被爱，想要的都拥有，得不到的都释怀,True,超话粉丝大咖（周深超话）,346,193,女,9
581,7827644284,咖啡猫布布,,False,,109,6,男,0
582,5975015951,阿豆不吃冰,我一直在这里@卡布叻_周深,True,娱乐博主 超话粉丝大咖（周深超话） 微博原创视频博主,615,3618,女,9
583,2215424843,柚夏味的米,⭐,True,超话粉丝大咖（周深超话）,675,61,女,38
584,6579698858,深深宝贝深深爱着你,呵呵,False,,536,20,男,8
585,7915469018,卡布天天开心,哈喽，这里是周深的一颗小小生米，承蒙大家厚爱,False,,49,4,女,0
586,6471271994,爱看星星的蛋挞,2021.6.20……,False,,180,8,女,1
587,1824010843,一粒小猫蘸辣椒,辣到一直喵喵喵！,True,微博原创视频博主,597,1.3万,女,48
588,7776904795,不能没有周小猫,周深就是最最好,True,娱乐博主 超话创作官（周深超话）,1419,1.4万,女,0
589,7225979265,没有什么一技之长,,False,,63,53,女,8
590,7904044047,栀笙z,A啾星今天吃米饭了嘛.(๑,False,,58,12,女,0
591,6746657752,丨山中何事丨,＝芝月月 我的心好想和你说说话@卡布叻_周深,True,超话粉丝大咖（周深超话） 问答答主,783,522,女,9
592,7461715547,Rirtnkills,找遍了 记忆商店 他说想 再荡个秋千,False,,238,367,女,0
593,6921173900,前调小狗味香水,要努力多见面！（整泥妈梦嬷一体机版,True,超话主持人（不如诗啊超话）,350,266,女,4
594,7828239982,钮钴禄可达鸭,,False,,17,3,女,0
595,6850406833,SSS_ponge,你是我最初的信仰，一定要幸福啊（镇魂防搜,True,超话粉丝大咖（周深超话）,652,290,女,19
596,7861551034,日出深山万丈更昕,日出深山，万象更昕 我是CD 什么意思呢？ D是Diana，就是我的英文名 C是Charlie，就是深深啦！,False,,144,5,女,0
597,5917112652,只剩一个梦18078,一半洒落阴凉，一半沐浴阳光,False,,384,6,女,0
598,5970500561,以观山海x,养养鱼，听听歌,False,,167,18,男,4
599,7769481694,辰曦祗,你好啊,False,,160,5,女,0
600,7620429762,喵喵爱喝小白粥,生活明朗，万物可爱。一粒努力生活的生米。,False,,214,104,女,0
601,7238261057,星星多少钱一颗,,True,超话粉丝大咖（周深超话）,379,348,女,4
602,7736414853,竹野内织惠,永远支持深深 住宿学生党，有事周末才能回，消息延迟严重,False,,98,12,女,0
603,7606898632,乐豆080806sky,生米一枚,False,,45,3,男,0
604,1048836531,那枚叶子,,False,,44,7,女,9
605,7032102374,逍遙兔頭追星星,,False,,109,12,女,3
606,6169859643,小澈失了策,周深认证唱歌好听,True,超话粉丝大咖（周深超话） 微博原创视频博主,330,343,女,4
607,7280431644,好想喝橙汁哇,啥都没有,False,,119,3,女,4
608,7413236313,用户7413236313,,False,,3,1,女,0
609,6445196557,潜紫于暮,喜欢宇宙歌姬的爱猫人士｜情愿一生如梦游,True,音乐博主,154,3194,女,4
610,7851672470,飞不远的毛桃,,False,,88,12,女,0
611,7626607902,日落的雨落,Wala li longla,False,,81,8,女,0
612,3016149787,梅-那些年-那些事儿,我喜欢飞翔的感觉,False,,153,1082,男,12
613,7912822809,卡布叻-迟到的米,周深唯粉   一个迟到在2024年的生米   💙很幸运能遇见深深！,False,,104,50,女,0
614,7456787044,你猜大鲸鱼到底有多大,唯深论。,False,,196,482,女,0
615,7584647045,玻璃屋子不防晒,禁cp，禁ns，禁糊鬼，禁所有油腻！,False,,59,8,男,0
616,5654520912,木大Wrryyyyyy,想偷走未来,False,,242,8,男,4
617,5673768069,居老师家的小芒果mango,,False,,615,68,男,9
618,2907548451,卡布叻_妤馨同学,,False,,27,19,女,6
619,7219638154,Lucifer鹿軒,₊⁺₊和左然恋爱浓度1314％₊⁺  代梦etj 不拒同担拒同价｜纽特梦｜星杰帕德唯世海里友梦｜推青雀 美树沙耶香 世以子 卢平 周深｜羊奶粉nzd胱解滚,False,,999,127,女,8
620,1220881503,YJ_Jean_周深二专_反深代词,无心亦心，自在观真，薄情非情，醉饮太平....,True,动漫博主 超话粉丝大咖（周深超话）,873,3311,女,48
621,7905554814,Tcary周芯芯,致力于抢到周深宝贝演唱会门票和前排 不看dy只看sx,False,,441,447,女,0
622,6023341271,吃西瓜打猹,一夜暴富幻想症十级选手,False,,644,88,女,9
623,6854664876,周深我哥_,我爱周深一辈子,False,,33,1,女,0
624,7383766924,枫屿梦舟,喜欢了深深4年的纯生米呀，看过深深两次演唱会的生你米呀！！！,False,,95,5,女,0
625,7864477618,卡布叻_嫑嫑和可可,主打一个爱深深啊啊！！！！！本人是学生米,False,,137,4,女,0
626,3243783022,奶萌小熊猫_爱深叻,只爱周深，其他靠边站站,True,超话粉丝大咖（周深超话）,446,182,女,5
627,7903752270,用户7903752270,本人生米，不要被我的名字误解！！！只是换不了😭主担周深，无副担！,False,,90,16,女,0
628,7763988205,柯一吱是路人,喜欢周深，偶尔冲浪🏄🏻,True,超话粉丝大咖（周深超话）,409,85,女,0
629,7904712823,心系我深,告诉周深 我有墙头🤪🤪🤪 墙头：周浅,False,,96,18,女,0
630,7884677166,LaylaloveCharlie,,False,,67,14,男,0
631,7712045648,若水三千只爱深深反深代词火火火,眼里心里只容得下周深宝贝一人。,False,,268,16,女,0
632,7356514695,万丈高空的米,OK啊姐们儿，我见到了！！！！我相信还会有下一次的,False,,26,1,女,0
633,7702251914,没有感情的流水线,微博发疯,False,,72,22,男,0
634,6975838439,白君璃_爱听仙品反深代词,独爱小深，音乐热衷者，极端分子请圆润拱出去，本人是不站队永远中立的涩涩乐子人｜｜镇魂,True,超话粉丝大咖（周深超话）,474,4386,女,4
635,6181243013,飒飒飒的小镜子,风雨同周，深情不移。,False,,156,16,女,4
636,2460432612,2M随星loveS,我们一起闯,True,超话粉丝大咖（周深超话）,261,131,女,28
637,6417646709,小花崽子x,伤痕再多 也值得被爱着,True,娱乐博主 超话粉丝大咖（周深超话）,234,1.4万,男,0
638,5905507016,鹤衔川_Azure,未来的瞳孔,False,,1097,95,女,8
639,7776277207,菌Helen-,,False,,49,12,女,0
640,7816742517,不吃榴莲的红烧肉,,False,,98,2,女,0
641,7701353518,披着狼皮的一粒米,喜欢周深，一生只爱深深一人，喜欢吃美食，旅游，大大咧咧，就是总把周深挂嘴边上,False,,79,7,女,0
642,7858965728,高一的米子萌,,False,,173,2,女,0
643,7911825213,祈深星,一个想考警校的小朋友,False,,32,3,女,0
644,7508099280,玖灵玖叻,卡布所在，音之天籁，风雨同周，深情不移,False,,210,21,女,0
645,7732777223,一起向阳yu,男大，搞钱中,False,,636,6,男,0
646,7900665744,卡布叻zs少惹我,愿美好生活与你同在,False,,151,61,女,0
647,7442773105,MiEstrella_MiGatito_MiCielo,致敬灵魂自由不屈的歌者，猛吸灵魂沙沙作响的小咪,False,,150,21,女,0
648,6620223116,立青之雨,你快乐不如我快乐,False,,612,14,男,2
649,1923009184,安静or疯子,,False,,73,41,女,23
650,6428609646,你猜怎么着98,,False,,60,1,男,0
651,7415353940,AI星舰_929Hz版,微博只用来吸深v(◦'ωˉ◦)~♡ 单机追🌟 不是小🎺懒得找人互关而已,False,,351,33,女,0
652,1102227377,你这条好吃的火腿,搞定，继续努力,False,,335,106,女,14
653,7562406806,卡布叻_一只欣欣,不想翻身的咸鱼,False,,53,11,女,0
654,7660198565,尊贵的百香果大人_叻,,False,,101,29,女,0
655,7445417772,cyyya妍,love深.,False,,45,1,女,0
656,6466772132,卡布星星的深浅叻,米咂！,True,超话粉丝大咖（周深超话） 微博原创视频博主,246,118,女,8
657,7813018513,这里就是地球叻,就是一个很专一的人,False,,26,3,女,0
658,7200581072,星星落入大海_,让死亡觊觎我 但命运打不败活着,False,,121,68,女,0
659,7872653270,做了六年班长和数学课代表的米,一粒永远爱深的米！为了梦想而奋斗！！！,False,,145,18,女,0
660,6867128130,又拾一柿,间歇性神经,False,,236,34,女,4
661,6186916221,榴莲美少女_0823,,False,,86,13,女,0
662,7910064318,卡布叻_吸泥,来啦深深,False,,114,11,女,0
663,7829489260,暮浅星深_,万物温柔相依，我以渺小爱你。 花开忘忧，愿你无忧！,False,,161,35,女,0
664,7771809929,一直听周深的话,9.29hz让我们同频.,True,超话粉丝钻咖（周深超话）,338,1148,女,0
665,7900524861,卡布叻_星陨,风雨同周，深情不移,False,,12,1,女,0
666,7915860723,天秤寶貝的水瓶媽,但行好事  莫問前程,False,,72,2,女,0
667,7925113122,小白粥198502,脾气很不好,False,,47,1,男,0
668,7904758126,啾星的米子来自C929,来自929星球的小米,False,,9,5,女,0
669,7394698860,什么名字会被周深记住呢,恋人💞@卡布叻_周深,False,,393,628,女,0
670,5152310527,堂前燕hysx,,False,,14,2,男,4
671,2279252762,希望深深都不要穿打底,就是個社畜，為了追周星星，認真的用微博！,True,醒吾科技大学,369,153,女,23
672,6308570630,SKX苒云,我曾等待一场奇迹。,True,超话粉丝大咖（周深超话）,219,55,女,4
673,3261967494,小门铃丶,周星星是小天使❤️❤️,False,,376,126,男,35
674,6531077432,圆圆闯世界,,False,,40,5,女,0
675,6228889506,cana养乐多,Can it be real,False,,103,5,男,3
676,7723833770,我是复数的i,我就是我远方,False,,150,4,女,0
677,7389128579,hxlxflasr,,False,,215,16,女,0
678,7564425888,米缸里的果壳,永远爱周深的一个生米O(∩_∩)O,False,,654,591,女,0
679,5829784070,重生之逆天邪龙王,遇见了全世界最珍贵的俊小狗₊⁺ 🐾 ₊⁺ 往前走，莫停留。,True,微博原创视频博主,922,1.3万,女,4
680,2605302933,卡布叻_桃子同学爱听反深代词,一代红家生米,True,超话粉丝钻咖（周深超话） 微博原创视频博主,590,1.1万,女,26
681,6535308048,画了只猫猫,散粉一粒，只关注周深！图可以抱走，做头像、桌面都可！严禁二改！严禁一切商用盈利行为！不约稿！,False,,365,9094,女,4
682,6068931311,王员外请吃饭,在繁星点点的夜晚品尝佳肴，每一口都是对宇宙的赞美。,False,,191,4.4万,男,31
683,7344542243,熬夜对身体很好,于是我放火烧山 再不向你索要春天,True,娱乐博主,730,1.6万,女,0
684,3214561073,戏精精精精,全网第一审美，全网第一点评，高考作文满分，路边卖煎饼果子养家糊口，找不到我就去 @扭葫芦戏精 @煎饼侠戏精 @茶茶茶小瓜主,True,娱乐博主,50,16.1万,男,9
685,6599903953,贵圈安利鹅,内娱冲浪一把手，线上吃🍉搬运工,True,娱乐博主,269,1.6万,男,4
686,5211873777,红星新文娱,,True,红星新闻文化频道,643,330万,女,32
687,5920131786,诸葛匆匆,踏雪而来,True,娱乐博主,2730,99.4万,男,25
688,5398462182,TheRealSome,皇后乐队'39大合唱现场参与者｜尹派小生陈丽君戏迷,True,娱乐博主,675,8982,女,33
689,6018436795,闲暇时加气站,知名娱乐博主,True,微博原创视频博主,330,24.8万,女,7
690,6755708863,以月佐酒,关于图  ①二传标源｜不许去水印🙂  没有原图 不用来求   ②打印随意（可去水印/送人）不准商用,True,娱乐博主,226,1.4万,女,9
691,6064285139,哦ferfer_,最爱半老徐娘,True,娱乐博主 超话创作官（陈数超话）,774,2.3万,女,3
692,7791585071,油酥饼难吃,又来看你大佬了~,True,娱乐博主 微博原创视频博主,395,2.2万,女,0
693,7768346568,草药味de岁月儿,但行好事，莫问前程,True,二级建造师,196,1.7万,男,0
694,5435892263,小谭匹琳,我有恋鬼癖。,True,娱乐博主,522,1.6万,男,4
695,7547878683,美式星巧杯,让我享受一下没v蹭热搜的爽感 镇魂！,False,,270,2.1万,女,0
696,6192755039,爱豆翻牌了吗1,想说啥就说啥,True,娱乐博主,1646,21.3万,女,4
697,7099933841,CC朱欣桐,属性置顶两条，只要不是让我雷的孩子我都爱；不存在wpg和给的爱少！！！,True,微博剪辑视频博主,992,5.4万,女,4
698,5991728341,Benef就是小火龙,二传别抹水印谢谢🙏，话多且懒！,False,,326,101,女,8
699,6796282206,宝你个头丶,智者不入爱河，建设美丽中国,False,,46,4,女,4
700,2802209400,猫猫鱼_828929,,False,,236,49,女,4
701,2693743977,送星星给我,活着这件事我也不太会,True,超话粉丝大咖（AG超玩会超话）,96,291,女,14
702,7538783031,Rubiaaaaa,,False,,104,8,女,0
703,5713080252,挺住加油一定可以,,False,,94,2,男,6
704,7818876292,茶莉的舔狗,,False,,108,5,女,0
705,7854854842,一粒生米子呀呀呀,风雨同周！深情不移！！卡布所在！！！音之天籁！！！！！啊啊啊啊,False,,268,7,女,0
706,7088687081,叶子只想做梦,,False,,105,4,女,4
707,7879366333,露梓遇林深,周深赵露思天下第一！！！,False,,40,4,女,0
708,5861326588,音畅-深屿叻,生米永远都在！！！,False,,311,59,女,9
709,7855459050,楹鸟日志-Q仔,镇魂⭕️,False,,227,64,女,0
710,6861373675,啾星原产果冻现摘现发,欢迎光↗临↘～～～我是致力于啾星新品研发的果冻，祝您吃好喝好՞•ﻌ•՞！,False,,947,4259,女,4
711,7598809960,隔壁住了个小姑娘,,False,,116,3,女,0
712,5672977253,CC今天可以不早起吗,Charlie宝贝⭐⭐万事顺遂,False,,202,92,女,9
713,7522291846,Lydiassmy,一粒来自C-929深空间的生米,False,,42,15,女,0
714,7879010986,暗中00,周深，好听,False,,108,28,女,0
715,5993847271,周深和高斯老婆的狗啊啊啊啊啊啊,潮斯没一腿，周深亲我嘴,False,,185,64,女,4
716,7460503188,-言椿漫星港,没有下不停的雨,False,,334,971,女,0
717,7776594607,带周星星去C929星球叻,爱吃深深，一口一个🤭,False,,196,5,女,0
718,2327765734,云胡不喜YHYH,,False,,104,180,女,14
719,7481909105,知许解夏MY,追唯一的星星,True,超话粉丝大咖（周深超话）,360,110,女,0
720,1913619107,抱住宝贝就是一个啾,白羊宫女主人,False,,888,423,女,41
721,7682726654,Specialcare_祈淅聆深栀,安利进行时~不忘初心！,False,,204,177,女,0
722,5759268391,别把小撒当傻子,今天成为富婆了吗？！,True,超话粉丝大咖（周深超话）,402,243,女,14
723,7874599502,深深de快递,制定了plan，因为lan，完成了个p,False,,87,24,女,0
724,6027721876,全世界最甜的奶球,我是来看星星的,True,超话粉丝大咖（周深超话）,402,1504,女,33
725,7883142545,草莓芝士小猫卷,,False,,16,1,女,0
726,6511466578,鸟小老虎,,False,,57,60,女,4
727,2884809132,试卷我的天敌,一般周六上线(其它时间打怪刷经验ing,False,,345,149,女,25
728,6473286320,-猫咪幼稚园-,一个喜欢星星的人✨我在一路追光 而你就是我的那束光 希望你永远快乐周深❤｜镇魂,True,画师 木头咪,338,441,男,4
729,7025175182,夜深人静_熬大夜,懒,False,,65,8,女,4
730,6582758488,注意避暑,,False,,9,1,男,4
731,7795158215,六百芹_twelve吃猫一族,小猫和没有通过图灵测试的通通抓起来，前者一口吃掉😋后者拖出去😡【红温中】,False,,123,4,女,0
732,5759978201,看了要钱--,烤布蕾我永远爱你,False,,336,165,女,9
733,7721963955,想被深崽崽回复的不语,要做有牙齿的温柔呀～,True,超话粉丝钻咖（周深超话）,784,427,女,0
734,6884847617,啾星三岁半叻,深深和生米们一定要健健康康平平安安快快乐乐!,True,超话粉丝大咖（周深超话）,168,57,女,4
735,7560745524,AKA永远爱深深,不分场合，一如既往地支持周深😘,False,,284,269,女,0
736,7735635338,zizi-----,,False,,75,3,女,0
737,7808144639,可可的梦--,纯生米，没有墙头，只粉周深💙,True,超话粉丝大咖（周深超话）,413,212,女,0
738,7804333070,七色水果汁,喜欢古明地觉😍喜欢镜音铃🥰 小号：rin的橘子汁,False,,80,16,女,0
739,5905241743,深深的眼里星辰闪烁,我喜我生，独丁斯时【镇魂】,True,超话粉丝大咖（周深超话）,514,606,女,14
740,7900804186,风起时的爱意,,False,,57,1,女,0
741,7747160913,函数怎么那么难,捕捉我爱的一切 自证在🔝 毒唯,False,,330,359,女,0
742,7575109632,JulieCurry,,False,,935,39,女,0
743,6197877674,一头扎进米缸,生米一颗,False,,267,160,女,3
744,5363680264,写斜阳却照栏杆,,False,,55,5,女,4
745,7902181043,嫑管我卡布叻,周深周深！！！！！亲亲我深,False,,65,4,女,0
746,6270959871,璀璨冒险人_稳如周深版,知行合一,False,,23,50,男,0
747,7437826107,蓝周拉面诶_929Hz有票版,“我们一定会再见面的！！！”,False,,332,375,女,0
748,7441043079,枝橙枝,要多炽热多奋不顾身,False,,246,158,女,0
749,2570241321,让你看到得不到的米,有没有办法可以少喜欢周深一点🙄🤧,False,,47,30,女,4
750,2145051760,树1974,,True,音乐博主,1160,3万,女,35
751,7605445265,把揪星星挂在天上的浅星叻,谁送我一张演唱会的票🙃🥲,False,,118,48,女,0
752,5453796326,亲亲卡波啦,,False,,81,19,男,0
753,7785929769,Amule_,爱Charlie呐💤【入坑两年咯】-眼不见心不烦，希望深深不要看到不好的东西，天天开心,False,,1033,220,女,0
754,3303043481,慈祥的果冻,好好地吃个饭，好好地睡一觉,False,,546,93,女,9
755,5235648855,宁檬与柠檬,不爱吵架，只站深深，佛系纯米。,True,超话粉丝大咖（周深超话）,659,612,女,26
756,7827433276,卡布叻-子芯,比钻石还纯的深家生米一枚,True,超话主持人（卡布_周深加油冲超话）,434,130,女,0
757,7365108642,娱乐杰克,本人视频图文均来自全网，如有侵权违规，请私信告知立删!,True,娱乐博主 微博原创视频博主,1446,19.2万,男,0
758,7634883179,Rubiaaaa____,,False,,57,1,女,0
759,7493693548,悲伤的氨基酸TT,Tomorrow will be better than today.💙,False,,81,10,女,0
760,6056811591,睡觉叻s,希望宝贝越来越好，越来越优秀！,False,,31,51,女,9
761,2589264361,薅一把揪星发小,谢谢周深唱歌给我听！！周深！我会一直做一只生米的！！！信我！！2042年以及以后的每一年我都在！,False,,106,67,女,4
762,7915982074,wutian米,爱吃深深的一颗米,False,,10,1,女,0
763,7509075946,九玖不苦瓜,地上的星星会发光叻,False,,134,16,女,0
764,7435908895,音癡咖喱是我沒錯鳥,微博曾用名：C929_音痴米，混入米缸的咖喱,False,,469,151,女,0
765,7543852497,用户7543852497,,False,,77,2,女,0
766,7750737580,找半天没有照片哦豁,,False,,382,453,女,0
767,6453955062,蟹老板最爱反深代词,为什么是该努力了？直接开始努力好不好。                                       ——周深,False,,90,11,女,4
768,5600249128,可盛可口可樂,❌shx ns mxh cpf,True,超话粉丝大咖（周深超话）,137,99,女,5
769,7863797911,Star揪星,⁺✞ʚ小深总重度依赖ɞ✟₊,False,,99,11,女,0
770,7599681573,莫名其喵叻,决心早日看到深深的现场,False,,180,9,女,0
771,7804528740,落哩个离落,,False,,301,277,女,0
772,3971222268,卡布叻的背包客,All for Charlie! Only for Charlie!,True,超话粉丝大咖（周深超话）,506,464,女,22
773,7086254029,一颗焦糖玛奇朵,吾心如秤，不能为人作轻重,False,,346,147,女,8
774,5646709930,卡布叻_半半,Walalilongla！,False,,130,26,女,9
775,6416780604,卡布叻_蛋白酶,,False,,6,2,女,0
776,7644630891,杰瑞爱吃烤布蕾叻_粥森的修狗版,粥森的一体机修勾👊🏻上网当然是快乐第一,False,,353,80,女,0
777,6091964583,秘秘94248,只为深深而来！,True,超话粉丝大咖（周深超话）,662,3962,女,3
778,6028168237,幺贰叁八八八,ncc倒闭 朝鲜收复韩国,False,,87,122,女,9
779,7771578537,深深你好a,,False,,28,1,男,0
780,2725998805,正义小叔,没有爱的生活就象一片荒漠，赠人玫瑰，手有余香，要“学会爱别人其实就是爱自己”，让爱如同午后阳光温暖每个人的心房。,False,,173,178,男,14
781,5902352963,深岚_叻,永远喜欢在舞台上发光发亮的你,False,,168,46,女,0
782,3561768154,今天我改微博名呀,I have always been with you,True,超话粉丝大咖（周深超话）,401,1.2万,女,39
783,2442986703,JOHNNY无限公司,哦来自重庆,False,,1216,499,男,42
